name,role
Kathleen Erin Deighan,actor
Frederick McGourkey,actor
Samuel Tsugawa,conductor
Arthur H. Osborn,actor
Charles E. Birdsall,speaker
Sixten Ehrling,conductor
Manuel Amargo,dancer
Frances Eloise Sturdevant,speaker
Enos Curtin,speaker
Gilbert Gottfried,comedian
Judson Harmon,speaker
Cornelia Sherman Harter,actor
Marlowe Jones,narrator
Beatrice Magoul Papadiamantopoulos,dancer|reciter
Everett P. Wheeler,speaker
Marina Frolova-Walker,speaker
Harry Cox,actor
Mack Harrell,narrator
Cord Meyer,speaker
Nicolas Guillen,speaker
J. W. Haywood,conductor
Louisa Hutton,speaker
Lawrence F. Abbott,speaker
Asuka Suse,dancer
Clifford E. Dinsmore,conductor
Lyn Wiltshire-Beer Elam,dancer
Ann C. Anderson,speaker
Melvin C. Zwaig,speaker
Sandra Dackow,conductor
Phil Spitalny,band leader
Yvonne Borree,dancer
David Harris,conductor
Harold W. Gould,actor
Kyoko Kubokawa,hula dancer
Ilya Kataev,conductor
Lovett Fort-Whiteman,speaker
Kyveli Theochari,actor
Wesley Catri,tap dancer
Jerry White,speaker|narrator
[first name unknown] Tarditti,conductor
Francis A. L'Esperance Jr.,speaker
Leon Slater,conductor
Avner the Eccentric,magician
Frances Folsom Cleveland Preston,speaker
Paul Winfield,actor|narrator
Byron Beal,actor
Mona Amira,dancer
Robert Ward,conductor
Lu Jia,conductor
Cecilia Saia,dancer
Priscilla Owens,narrator
Charlie Slavin,comedian
Stephanie Metz,actor
W. Cameron,conductor|pipe sergeant
Basil Twist,puppeteer
Wolfgang Fromme,director
C.W. Rogers,actor
Clark Anthony,comedian
Phil Preddice,conductor
Donald Rock,conductor
Charles E. Miller,actor
Babe Diack,comedian
W. H. Tolman,speaker
Troy Peters,conductor
Sharon Rizzo,conductor
Laura J. Mandel,speaker
Joseph M. Bergin,actor
Henry A. Wise Wood,speaker
George C. Knabe,actor
Gwendolyn Carter,conductor
Henry Neumann,speaker
Scott J. Dunn,conductor
Eddie Condon,conductor|host
Brutha Los,rapper
Hamlet Chobanyan,mime
Carlo Maria Giulini,conductor
Patrick J. Kennedy,speaker
Francesco Fanciulli,conductor
Francesco Di Mauro,conductor
Erwin Straus,conductor|director
Harriette Holland,actor
Marino De La Pena,actor
Jennifer Teed,conductor
Bernadine Virani,sign language interpreter
Edouard Van Remoortel,conductor
Muriel Gaines,actor
Ballington Booth,speaker
Peter Witte,conductor
Morris C. Valentine,speaker
Clarence Cameron White,conductor
Stephen Phebus,speaker
Christopher Takis,conductor
Frank Moss,speaker
Dr. Manuel Cotilla Vilar,actor
Evie Zavolas,dancer
Shaun Dorney,conductor
Sam Radin,speaker
Samuel W. McCall,speaker
Nana Gollner,dancer
H. H. Wolff,actor
Frederick Albeke,conductor
Marshall Bartholomew,conductor
Leo Levenda,actor
Judith King,host
Lawrence Sutherland,conductor
William Watson,reciter
Scott Mason,conductor
Walter Abel,narrator
Eugene Kohn,conductor
I. M. Harjito,director
Charles C. Burlingham,speaker
Matthew Renko,dancer
Lucas Segovia,dancer
Roberto Pregadio,conductor
Ray Goulding,comedian
Dragana Jovanovic,conductor
Bernard Loomer,speaker
Benjamin Bricklyn Tilt,actor
Esther McDonald,actor
Jinhoon Choe,conductor
Henry Fairfield Osborn,speaker|host
Fred L. Precht,conductor
George Alexander,speaker
William Bernard Tigue,speaker
Patrick Farenga,speaker
Henry Grah Hershfield,actor
Deborah J. Borisoff,speaker
Constance Baker Motley,presenter
Charlie Chaplin,speaker
Swami Satchidananda,speaker
Tokio Sakoda,speaker
Said Durrah,comedian
George Sylvester Viereck,speaker
Julius Rudel,conductor
Jose Torres,dancer
Mabel Munro,speaker|reader
E. David Friedman,speaker
Richard Bartell,actor
John Dwight Sullivan,speaker
Jerome Lowenthal,presenter
Jean Goldkette,conductor
Don Lurio,dancer
Joseph Carl Breil,conductor
Dr. Bruce Chamberlin,conductor
Whiting Williams,speaker
Bhupesh Guha,dancer
Evert Compaen,dancer
Bong Ku Jeohn,conductor
Jonathan Newman,conductor
Jimmy Owens,conductor
Grace Denny,actor
Mikis Theodorakis,conductor
Harriet May Mills,speaker
Quinto Maganini,conductor
Kid Rock,rapper
Frances Perkins,speaker
Charles Rex Jr.,narrator
Jason Eckardt,speaker
Nathan Carter,conductor
Alvaro Cassuto,conductor
Tony Canzoneri,speaker
Gabriela Guerrero,dancer
Ida Soyer,dancer
Herman Yablokoff,narrator
Andrea Robinson,speaker
Mrs. Frederick A. Dow,speaker
Okko Kamu,conductor
Abbott Lawrence Lowell,speaker
Dennis Regan,comedian
Hester Sondergaard,actor
Matthew Heck,narrator
A. Warren,dancer
Maggie Estes,dancer
N.S. Shaller,speaker
Earl Wild,speaker
Benjamin G. Chew,actor
Fannie Hart,speaker
Anna Hamre,conductor
Jeff Lettiere,dancer
Yerzhan Dautov,conductor
Nick Cannon,speaker
Anne Allgood,actor
Jack Taylor,conductor
Reverend H.B. Workman,speaker
Dino Kartsonakis,host
Jukka-Pekka Saraste,conductor
Edith M. Porter,actor
Sam Ashley,reader
Robert F. Wagner,speaker
Shin-Nihon Waso Kimono Gakuin,presenter
Leonard Sillman,dancer
Virginia Taylor Cox,speaker
Hoffman Kissam Reynolds,actor
Frank Bohn,speaker
Barbara Stetter,director
Harry Teetz,dancer
Brad Davis,conductor
William Boughton,conductor
William Dean Howells,speaker
Charles J. Hexamer,speaker
Isadora Lyon,actor
Eddy Robinson,conductor
Robert G. Lerner,speaker
Harold W. Gilbert,director
Sugar Ray Robinson,speaker
Joyce Ebert,actor
Reverend Benjamin C. Warren,speaker
Scott Schofield,actor
Richard Bonynge,conductor
Jessie Mackaye,actor
Chris Rock,comedian
Ted Magder,speaker
Gertrude A. Fife,actor
Ernie Wilkins,conductor
Elizabeth W. King,actor
Edward Barry Greene,conductor
Kate Winslet,speaker
Daniel Gregory Mason,speaker
T. Mychael Rambo,actor
Reverend Otis A. Glazebrook,speaker
Nam Soon In,host
Dan Heath,conductor
David Wong,conductor
Willie Solor,actor
Sue Hahn,conductor
Joseph B. Zito,conductor
De Witt L. Speyer,reciter
Professor N. Roach,magician
Sarah Silverberg,actor
Donal McCann,actor
Robert Greenberg,speaker
Minette Witt,dancer
Megan Stallard,conductor
Celci Tynan,actor
David Phillips,conductor
Stephen Coleman,conductor
Frank McCormack,actor
Dorothy Holcomb,conductor
Lazar Weiner,conductor
Charles Sprague-Smith,speaker
Tiny Ruffner,host
Nathaniel Ridgway White,speaker
Max Clayton,dancer
Thomas F. Shannon,conductor
Howard H. Hopping,actor
Lucienne Gillet,actor
Luella Melius,conductor
George Chaffee,dancer
Hans Moser,speaker|actor
Tom Nagorski,speaker
Brad McCann,conductor
Molly Kaufman,dancer
Ludwig Nissen,speaker
Marthe Keller,actor
John D. Nieman Jr.,dancer
Beth Sully,actor
Adelaide Ohlandt,reciter
Marion Coben,actor
Norman Scribner,conductor|director
John D. Lodge,speaker
Catherine Cattell,speaker
David DeWitt,conductor
Larry E. Vote,conductor
Archbishop [first name unknown] Iakvos,speaker
Willem Willeke,conductor
Alfred Ely,actor
Don Clause,conductor
Bernard Mandelbaum,speaker
Jeff Emge,conductor
Kazuko Nishimura,dancer
Ethel Frances Fifield,actor
Charles N. Bulger,speaker
Sadie Jacoby,reciter
Alexander Mukdoni,speaker
James Johnson,speaker
John Houseman,actor|host
Roy Marquhart,dancer
Dame Diana Rigg,host
Frank Taft,director
Barry Epperley,conductor
Alfred Wagenknecht,speaker
Frederick Kuhne Morris,speaker
Jonathan Alper,actor
Reverend C. L. Twing,speaker
Nicholas A. Donnelly,speaker
Lauren Alfano,actor
Reverend Rufus W. Miller,speaker
A.F. Mando,conductor
"Jerry ""B""",host
Hyunhee Chung,conductor
Lillian E. Korch,actor
Ed Helms,speaker|actor
Marshall Montgomery,magician
Margaret Ellsworth,actor
David Goldberger,speaker
John Benza,conductor
Donald E. Morrison,conductor
Robert M. La Follette,speaker
Gregg Mauroni,conductor
Mark Gunderman,conductor
George L. Burkle,actor
Ray Andors,dancer
Charles E. Phelps,actor
Amy Schumer,comedian
Steve Reich,speaker
M. Moruxo,actor
Heidi Rosenau,speaker
Toti Fuentes,conductor
Joenatan Lopez,conductor
Duane Karna,conductor
Dennis J. Zeisler,conductor
Michael Bourne,host
John Henry MacCracken,speaker
Fernand Marie Maillet,conductor
Mary Brosnahan Sullivan,speaker
Marie Moran,dancer
John Buzpoz Ince,speaker
Reverend Sung Jin Jung,speaker
Katherine Holden,dancer
Hubert Miles Gladwyn Jebb Gladwyn,speaker
Winifred Joy,actor
James Cavanagh,conductor
Arddin Herbert,director
Dorothy Hodgens,actor
William M. Calder,speaker
Helen Bodo,dancer
Mike Huckabee,narrator
Richard W. Weymuth,conductor
Kathy Hutcherson,conductor
Alastair Willis,conductor
Jerry Goldsmith,conductor
Jorge Mester,conductor
Ayako Nagata,folk dancer
Dr. A. Morawski-Nawench,speaker
Anna Carbonell,host
Grace E. Ames,speaker
David R. Rosenthal,conductor
Sarah Vogan,dancer
Judy Barnett,conductor
Troy L. Bennefield,conductor
Leander De Cordova,actor
Simon Sterne,speaker
Albert Stickney,host
Dave Elman,speaker
Roxanne Roberts,panelist
Eli Wallach,speaker|actor
Jackie Curran,host
Veronica Bravo,narrator
John J. Delany,speaker
Richard Cressy,dancer
Steven Liotta,conductor
M. C. Gleeson,speaker
Harriet Webb,reciter
Reverend W.A. Moses,speaker
Brother Theodore,comedian
Haley Goldbach,speaker
Edwin C. Butler,actor
Vincenzo Borgia,conductor
Melba Tolliver,host
Master Ireland,dancer
Darwin Rudd,actor
Abdul Essen,dancer
Robert Lee Hill,actor
Henrik Jul Hansen,conductor
Maude Cummings Taylor,conductor
M. J. G. Briggs,actor
Carl Schurz,speaker
Edward F. Cassidy,speaker
Sir David Willcocks,conductor
Elina Mooney,dancer
Paul Dubuchy,actor
Dr. Regina Kaiser,speaker
C.S. Rosenszweig,actor
Lee Atwater,speaker
Benjamin Pryor,actor
Tommy Hollis,speaker
Eva Meyers,dancer
Nick Waters,conductor
Wenda Gu,panelist
Shen Wei,director
Isao Yabiku,conductor
Estelle D. Rothstein,actor
Chuck Green,tap dancer
Caridad Princess Remy,speaker
Paul Hindemith,conductor
Sy Oliver,conductor
Minnie Catherine Lapp,actor
Mari-Louise Hedlund,host
James Drew,conductor
Steven Grimo,conductor
Charles E. King,conductor
Young-Joon Kim,conductor
Seymour W. Pinner,actor
Gary Sousa,conductor
George Brecht,performance artist
Andrew Hire,conductor
Rod McKuen,reciter
Charles Benedict,speaker
Sean Masterson,comedian
Edson Thurlow White,actor
Luther B. Wilson,speaker
Henry F. Ashbest,speaker
Tom Brawner,conductor
David Rayl,conductor
Pauline Bocock,actor
Samuel Seabury,speaker
Lozang Jamspal,speaker
Ken Renard,actor
Joey Reynolds,announcer
Little Fuddie Mooney,reciter
B.J. Ward,comedian
Maria Tucci,actor
David A. Constantini,speaker
Abby Sage Richardson,speaker
Sean Penn,speaker
A. Bertram Harrison,actor
Helen Kinney,dancer
Joanna Nikas,speaker
David Searle,conductor
Boutros Boutros-Ghali,speaker
Eartha Kitt,narrator
Reverend J. Wilbur Chapman,speaker
Charles Breasted,narrator
Jose Antonio Vargas,speaker
Edward Tatnall Canby,conductor
George W. Norris,speaker
David Lang,speaker|host|director
Reverend Thomas F. Gailor,speaker
Betty Ruth Brabazon,speaker
Hal Leroy,tap dancer
Maximo Ronquillo Jr.,conductor
Steven Blier,host
Madeline McDowell Breckinridge,speaker
John T. McDonough,speaker
Fred Travalena,host|impressionist
William Carswell,conductor
Philip Setzer,speaker
Alice McCarren,dancer
Steven Mercurio,conductor
Harriet Sheridan,speaker
Susan Dusart,speaker
Stanley M. Isaacs,speaker|presenter
Reverend William A. Quayle,speaker
Mark Montemayor,director
William Bernard Bryant,actor
Franz Xaver Arens,conductor
Joseph Piazza,conductor
H. Tuthill Spence,actor
Dennis J. Allendorf,speaker
Otto D. Tolischus,speaker
Julia Marlowe,actor
Mary Schmidt Campbell,speaker
Leon Thompson,conductor
Henry Ellsworth,speaker
Richard Marx,speaker
Grace E. Thornbury,actor
Mykhaylo Dlaboha,conductor
Uwe Christian Harrer,conductor
Constantine Orbelian,conductor
Alice Fairbrother Webber,reciter
Albert B. Cummings,speaker
Daniel Hartman Hastings,speaker
Albert B. Lowenfels,speaker
Jade Folac,dancer
James B. Carey,speaker
Cyrus R. Vance,presenter
Fiorello H. La Guardia,conductor|speaker
Antin Rudnytsky,conductor
L.W. Mayfield,speaker
Amadou Korougi,dancer
Arthur Stanley Hutchinson,actor
Will Darling Ballantine,actor
William Dick,conductor
William S. Farmer,speaker
Mungal Patasar,band leader
Jeffrey Wenz,conductor
Kwita Zorych Kondracka,conductor
Pauline Ives,actor
Alexander Hilsberg,conductor
Brooke Shields,actor|narrator
George N. Carpenter,speaker
Pat Philips,host
Frank W. Baldwin,actor
Willem Ibes,speaker
Sheila C. Johnson,speaker
Louise Jewell,actor
Al Parke,comedian
Norma Shloss,actor
Albert W. Kitts,speaker
Franz Reicher,actor
Katherine McKim Garrison,actor
Fanny Crosby,speaker
Stephen De Maio,speaker
Jean Paul Morel,conductor
Michael Lucchesi,speaker|presenter
Dr. Kathleen McGuire,conductor
Ketevan Saralidze,host
Gloria Gould Bishop,dancer
Michael R. Bloomberg,speaker
B.F. Thomas,speaker
Charlotte Chandler,dancer
Andrew Dzikowski,conductor
Abraham Lederman,speaker
Michael Langemann,conductor
Robert Adamson,speaker
Leon Levy,speaker
Lamberto Coccioli,speaker
Sebastian Knowles,reader
"Edwin ""Fast Eddy"" Francisco",tap dancer
Adeline Cone,actor
Langston Hughes,speaker|reciter|narrator
Saul Schechtman,conductor
George Martin Broemmel,speaker
Laurence K. Brown,actor
June Allyson,host|dancer
Pierre Perron,conductor
Lewis A. Sayre,speaker
Reverend H. Pereira Mendes,speaker
Kaua Kaho'onei,dancer
F. Melius Christiansen,conductor
Emanuil Sheynkman,conductor
Rob Reiner,host
George D. Aiken,speaker
Christian Tetzlaff,conductor
Hazel Stilwell,actor
Gavin Greenaway,conductor
David I. Kelly,speaker
Noemi Perez,conductor
Mildred Russo,dancer
Jourdan Urbach,speaker
Highlanders Steel Band,calypso band
Fred Berman,conductor
Myron Levite,conductor
Mary Parsons,dancer
Larry E. Dittmar,conductor
Romnald R. O'Hagan,speaker
C.M. Odorizzi,speaker
Linda Mack Berven,conductor
Todd Brewster,speaker
Samuel Goldenburg,speaker
George R. Meeker,actor
Reverend Gerald T. Walsh,speaker
Jeff Rudy,conductor
Peter Gazda,conductor
Patrick F. Hegarty,speaker
Harriet Spinning,actor
Philip King,ballet dancer
Beulah Whiteman,actor
Edgar Schenkman,conductor
Anthony Carrozza,conductor
Emma Jones,conductor
Jo-Michael Schiebe,conductor
Jotaro Tsuga,conductor
Mary Hutchinson,dancer
Jesus Concepcion,conductor
Clayton Mackenzie Legge,actor
Reverend Robert S. Smith,speaker
James F. Flannigan,speaker
Herbert A. Miller,speaker
Dorothy Loudon,actor
George K. Clark,actor
Alexander Kordzaia,conductor
Walter Lowenfels,speaker
Louis Gilbert,actor
Renato M. Vellutino,conductor
Consuelo Barranco,actor
Giles N. Taintor,reciter
Amos S. Rhee,speaker
Murray Horwitz,host
Rev. Mr. [first name unknown] Allsworth,speaker
Emmeline Pankhurst,speaker
Jean Martinon,conductor
Victor Alessandro,conductor
Martin Waxman,dancer
George Folsom Granberry,speaker
Jonathan Harris,speaker
Chito Montoya,conductor
Margaret Parnell,actor
Jan Bart,reciter
Jose Fernandez,dancer
Felicity LaFortune,reader
Francisco J. Nunez,conductor
Kuno Francke,speaker
James Moore,director
W. R. Davis,actor
Sylvia Caduff,conductor
Lawrence Kaptein,conductor
Harvey V. Fineberg,speaker
Bob Horton,conductor
Elsa Kahl,dancer
Mrs. James Duane Livingston,actor
Michael Logue,speaker
Flora M. Cockrell,dancer
G. Wagner Gerbish,actor
Alexander S. Panyushkin,speaker
J. C. Stevenson,actor
Hisanori Mizumoto,dancer
C. Ward Crampton,speaker
Sam Medoff,band leader
Donna Canton,dancer
Richard E. Byrd,speaker|narrator
Joe Darcey,comedian
Sung Kyun Kim,conductor
Carlos Kalmar,conductor
Sudie Bond,dancer
Annette Pitt,actor
Ethel Stark,conductor
Margaret Lindquist,speaker
Cassandra Lindsay,dancer
Julie Voshell,ballet dancer
Ella Naughton,dancer
Carolyn Forche,speaker
Reverend Thomas J. Shahan,speaker
Stephen Stamas,speaker
Syd Joe,band leader
Louisine Havemeyer,speaker
Dr. Drew Pinsky,speaker
Georgie Kaye,comedian
Dr. David I. Golovensky,speaker
James Sawders,narrator
David Christensen,conductor
Reverend Leonardo Pavone,conductor
Dr. Harry P. Swift,speaker
Otto Balzer,conductor
Alfred J. Sporborg,actor
Selma Temliak,speaker
Mona Segal,actor
Gil Rose,conductor
Elliot V. Noska,actor
Marguerite Courtot,actor
Miss [first name unknown] Street,actor
Reverend William Christie,speaker
H. Leivick,speaker|reciter
Ruben Modesto,conductor
Pauline Boulton,actor
Gregory Fuller,conductor
Keith Johnson,conductor
Lorraine Vaillancourt,conductor
Luba Rymer,actor|narrator
Eugenia Sarian,host
Dina Giauque,dancer
Douglas Marland,actor
Ralph Stuart Jr.,actor
Douglas M. Jordan,conductor
Ella Danaher,actor
Paul Price,conductor
Bertie Le Roy,dancer
Etille Saiken,dancer
Tyrone Power,actor
Paul Lawrence,conductor
Jamie Bryan,conductor
Byron Horton,speaker|presenter
Helena Rutherford Ely,actor
Lorraine Ramsey,dancer
Harry Emerson Fosdick,speaker
Herve Klopfenstein,conductor
Curtis Oetjen,actor
Kevin E.F. Sutterlin,conductor
István Kertész,conductor
Roddy McDowall,host
Paul Krassner,speaker
Caroline Runtz-Rees,speaker
Reverend John Howard Mellish,speaker
Michael Pratt,conductor
Darren Dailey,conductor
Theo Wendt,conductor
Anna Sullivan,dancer
Mrs. Nathaniel P. Hill,speaker
Sitara Devi,dancer
Claire Lautier,actor
Reverend Ji Gak Bang,speaker
John McQuilkin,conductor
Scott Stein,conductor
Adelina Persichella Giglio,comedian
Anna Ostrofsky,conductor
George Pardigon,fencer
John Wojciechowski,conductor
Randolph Guggenheimer,speaker
Connie Brouillette,conductor
Julia Brasher Thorn,conductor
Oscar Raywood Wood,actor
Janet Harms,conductor
Daniel Dawson,speaker
Edward Morrison,actor
Donald Mitchell,speaker
Helen Harbeck,dancer
Alexander Mikhaylov,conductor
Alexander Vedernikov,conductor
Jenny Malotte,conductor
Shirley Lemon,conductor
Jane Arnold,actor
Albert C. Sondime,actor
Frances Finn,dancer
Mack Stark,conductor
Carol Higgins Clark,actor
Lothar Perl,conductor
Lacey Kaiser,conductor
Sammy White,comedian
Paul Rardin,conductor
Goldie Stewart,comedian
Lady Henry Somerset,speaker
Gerre Hancock,conductor|director
Hitomi Ozawa,dancer
Sir Howard Stringer,speaker
Erin Lawler,conductor
Levi P. Morton,speaker
Paul Gemignani,conductor
Erwin Mosessinger,director
Reverend Raymond Lalor Forman,speaker
Bushra Jawabri,presenter
Jan Kleihues,speaker
Albert C. Sondine,actor
John J. Daly,actor
Xiaoying Zheng,conductor
Patricia Wojcik,conductor
William Solotaroff,speaker
Carol Thomas Downing,conductor
Alfred LeBois,actor
Peter Matz,conductor
Susan Wattman,sign language interpreter
Arthur Nevin,conductor
Warren Foley,conductor
Antoinette Rochte,actor
Martha Morris,dancer
Marshall Darrach,actor
Mr. [first name unknown] Brown,actor
Margaret Wycherly,actor
Herbert Hoover,speaker
Simon Morrison,speaker
Yuga Cohler,conductor
Argentinita,dancer
Robert A. Katzmann,speaker
Rip Torn,narrator
Toinette Kalvio,dancer
Beatrice Arthur,actor
Frederick Intropidi,conductor
Sidney E. Mezes,host
Candace Johnson,director
Efrain Guigui,conductor
Dan Martin,conductor
Christian Zembower,conductor
William R. Morley,actor
David Amram,conductor|host
Alison Thigpen,conductor
Reverend William H. Brooks,speaker
Doris Klinsing,speaker
Duane Minnick,conductor
Joe DeRosa,comedian
Hank Azaria,actor
Dr. Louis E. Bisch,speaker
Amram Mitzna,speaker
Amy Siegel,Irish step dancer
Tracy Locke,comedian
Bill Dana,speaker
John H. Burn,conductor
Jocelyn Burns,dancer
Kevin A. Memley,conductor
Herbert Bruen,conductor
D.D. Woodmansee,speaker
Tacita Dean,speaker
Sidney Kraus,actor
Blanaid Murphy,conductor
Emmett O'Leary,conductor
Arthur Caliandro,speaker
J. Arthur Greene,actor
Anne Kollar,conductor
Peter Mark,conductor
[first name unknown] Hildebrand,actor
Marvin Moser,speaker
Andre De Shields,actor
Nathan Wyatt,narrator
Gregory Jung,conductor
Aaron David Mahi,conductor
Jeff Easter,speaker
Josefina Perez,dancer
Moshe D. Krupka,speaker
Ethel Tuttle,dancer
Bill Miller,conductor
Thomas W. Morris,speaker
G. Robinson,dancer
Marc Gellman,speaker
Grace R. Henry,actor
Rodwic Fukino,dancer
Ben Grauer,host|narrator
Cliff Duren,conductor
Leo Fuchs,actor
Laurence O'Keefe,host
Helen Litz,conductor
Lola Rodriguez de Tio,reciter
Edwin H. Blashfield,speaker
Willy Hakim,conductor
Mark Heinly,conductor
Valerie Bell,conductor
Joseph Boardman,speaker
Janet Naramore,sign language interpreter
Philip Stanislaus McCormick,actor
Luke Chaffee,conductor
Norman Cousins,speaker
Gustav Meier,conductor
David Gomez,conductor
A. Russell Slagle,actor
Leo B. Meyer,speaker
Kanna Kozu,host
Beryle Morse,actor
Harland Dixon,dancer
Louis Marshall,speaker|actor
Vaginal Davis,comedian
Peter J. Levin,speaker
Ben C. Watson,speaker
F. Williamson,actor
Matthew Aubin,conductor
Juan Leon,dancer
George A. Wilson,conductor
Nanda Neilson,dancer
Leo Krzycki,speaker
Yuri Ushakov,speaker
Anthony Elliott,conductor
Norman Zogaib,conductor
Mrs. Schuyler Warren,speaker
Douglas Wager,actor
William Henry Chamberlin,speaker
Arthur Guy Empey,speaker
Byron Khun de Prorok,speaker
Peter Ustinov,actor|host|narrator
Philip A. Benson,speaker
Gheorghe Zamfir,conductor
Lenny Bruce,comedian
Peter F. Dailey,actor
Bill Gallo,speaker
John Henson,puppeteer
Emil L. Farnlund,conductor
Mahmoud Tehrani,reciter
Fred Norris Robinson,speaker
George L. Record,speaker
Loren Newton Wood,speaker
Coe Glade,narrator
J. Lindsay Gordon,speaker
Alexander Myktiuk,conductor
William Wagner,actor
Frank R. Rix,conductor
Leonidas Moreau Lawson Jr.,actor
Jack Percy,actor
John Champney,conductor
A. A. Smith,actor
Winifred Sackville,speaker
Paul Gallo,conductor
Paul Jones,conductor|speaker
Christopher M. Blackmer,conductor
W. R. C. Latson,speaker
Edwin B. Katte,actor
Miller Coarite,dancer
Emily White,dancer
Linda Bouchard,conductor
Sidney H. Moore,speaker
Grace Tyson,comedian
Wayne Fanning,conductor
Madeline Young,conductor
Pilar Morin,actor
Austin Kiplinger,speaker
Jansen Chan,speaker
Monica Bertran,speaker
G. C. Smith,reciter
M.Z. Margolis,speaker
John Covelli,conductor
Karl Munchinger,conductor
Michael Winslow,conductor
Carlos de Salazar,actor
Coningsby Dawson,speaker
Linda Hindburg,dancer
David Mendoza,conductor
Sophie Irene Loeb,speaker
Charles W. Fairbanks,speaker
Mary C. Hartnett,actor
Harry Klyn,comedian
Michael Murphy,narrator|conductor|conductor
Alexander Irvine,speaker
Laryssa Sadoway,conductor
Pearl Reynolds,dancer
Mrs. Edward J. Gohr,presenter
Ruth Pratt,speaker
Richardena Jackson,dancer
John Doerr,speaker
Robert Weber,actor
Reona Ito,conductor
Frank Salomon,speaker
Roz G,comedian
Lydia Arlova,ballet dancer
Jennie Moscowitz,actor
Lady Bird Johnson,speaker
Harry Losee,dancer
Franco Corelli,speaker
John Ross,conductor
Mary Lawton,actor
J. Warren Jewell,actor
H. Pertelevitch Raud,speaker
Allan Sherman,comedian
Patrick Stoffer,actor
Troy V. Jones,conductor
Rudy Perrault,conductor
Abraham Kaplan,conductor
G. Bublik,speaker
Debra Messing,speaker
A. A. Wild,conductor
Deborah A. Mello,conductor
Theodora Raggio,dancer
Ned Coupland,dancer
John J. Totten Jr.,speaker
Scotty E. Walker,conductor
Roman Brooks,dancer
Alexandra Fuenmayor Starr,panelist
Edvard Benes,speaker
James Young,actor
Yvonne Hatchett,conductor
A.C. Surpless,actor
Hamilton L. Rainey,speaker
Enrique Arturo Diemecke,conductor
Nat. Ward Fitzgerald,speaker
Jessie O. Laidlaw,actor
Naomi Levine,puppeteer
Fred Allen,comedian
Raymond Edward Johnson,actor
Lucile Watson,actor
P. G. (Perry George) Lowery,conductor
Joseph Glickman,speaker
Sharon Moore,speaker|host
Kim Hamilton,narrator
Mario Naldi,dancer
L. W. Potter,reciter
Heather L. Sadlo,conductor
Kelly Stapleton,speaker
Lucy Hoe Worcester,actor
Mrs. Francis Rogers,speaker
Jacob Mohan Thazhatau,speaker
Edward Anthony Gaffney,speaker
Francis Schwartz,conductor
Anna Warren Story,reciter
Michael Croiter,conductor
Julius John Durand,actor
Cathy Ettle,conductor
Zizi Richards,dancer
Mike Thoma,actor
Sid Gould,comedian
Steven L. Reed,conductor
Pamela Tellejohn Hayes,conductor
Gilroy Mulqueen,actor
Erdmann Sorge,dancer
Mr. [first name unknown] Perry,dancer
Kristin Bergin,conductor
Hans E. Wirsing,presenter
Richard Street,conductor
Phyllis Susen,speaker
Eugene Cleves,actor
Wojciech Typrowicz,conductor
Sheela Subramanian,dancer
Anthony Rosen,speaker
Barbara Wadsworth,actor
Gertrude Robinson Smith,host
Robert Bacon,speaker
William Edgar Borah,speaker
Emmanuel Villaume,conductor
Joseph J. Sisco,speaker
Bart Folse,conductor
Angelo Campori,conductor
J. de Morinni,actor
James A. Cahill,speaker
A. Robins,actor
Jocelyn Burke,dancer
Burr McIntosh,speaker|actor
M. P. Dunlap,actor
Thomas Bottcher,conductor
Luis J. Marquez,actor
Solly Pernick,speaker
Judith Clurman,conductor|speaker
Michael Semancik,conductor
Raoul Geer Dufourcq,actor
Jeannette Scheerer,conductor
J. David Bratton,conductor
J. Robert Cooke,speaker
Gerhard Mennen Williams,speaker
Carl Sherman,speaker
Sid Caesar,comedian
Bruce Neswick,director
Fritz Mahler,conductor
Kenneth J. Welsh,conductor
Edna Finn,dancer
Adolphe Cohn,speaker
Lloyd Pfautch,narrator
Jordan Stern,conductor
Marjorie Sinclair,dancer
Matsuda Mitsuteru,actor
Anita Damrosch,actor
Frank Epstein,director
Mark Strand,reader
Koji Horibata,director
Joseph C. Fyans,speaker
Marie Otto,dancer
Jack Eigen,speaker
Robert Whitney,conductor
Triada Samaras,speaker
Alice Fellowes,dancer
Mary Seidman,dancer
Sibyl Piccone,speaker
Joe Battaglia,speaker
Marian Wright Edelman,speaker
Norman Walker,dancer
Julius Eastman,conductor
Harriet Hoctor,dancer
Reverend David Wills,speaker
Adrian Dyck,conductor
Harold Francis Parker,actor
Diana Scheff,conductor
John Palmer White,actor
Kenneth B. Millett,speaker
Adolph Zink,actor
Julia Reiss,dancer
Leopold Rein,speaker
Patricia Setser,conductor
Ethel Jackson,actor
Marcia Patton,conductor
Dominick Argento,speaker
Fancher McIntyre,dancer
Wilbert Leverette,dancer
Don Pines,speaker
Mischa Auer,actor
Arthur H. Robinson,actor
James Bagwell,conductor
Irwin Corey,speaker|comedian
Edward Albee,speaker
William H. Pascoe,actor
Charles E. Girton,speaker
Reverend William R. Kelley,speaker
Wallace R. Eddinger,actor|reciter
Iris Lamanna,conductor
Steven Deater,conductor
Canada Lee,actor|reciter
Morris Lifschitz,speaker
Mabel Wimpfheimer,dancer
Louis Weinberg,speaker
Isabel Eben,reciter
Maria Castro,actor
Erika Schwartz,speaker
William Philip Breitwieser,speaker
Edgar J. Pitshke,actor
