name,role
Sigourney Weaver,narrator
Ray G. Shipman,actor
Patrick Burns,conductor
J.G. Riva,actor
Diarmuid McGann,speaker
Danny Holgate,conductor
E. A. Jimenis,reciter
Leontyne Price,speaker|presenter
Jane Addams,speaker
Reverend Francis P. Duffy,speaker
Nathan James,host
DeVon Pickett,conductor
Giancarlo De Lorenzo,conductor
Glenn Malloy,conductor
John A. Victor,actor
Marion Lorne,actor
Alex Qian,conductor
Bertha Belle Ellison,actor
Mother McClease,reciter
Carolyn Breuner,actor
Tramaine Hawkins,host
George Totten Smith,actor
[first name unknown] Hawkins,actor
Erza Kendall,comedian
Christina Bonati-Henderson,conductor
Michael Fiveisky,conductor
Julia Wolfe,speaker
Marie Jeanne,ballet dancer
R. Kosecoff,dancer
Stan Leess,conductor
Ruth Levy,actor
David Wield McLean,speaker
Giovanni Longo,conductor
Henry Dugan,actor
Dennis McCarthy,actor|conductor
Harry Goalavin,dancer
Reverend George L. Mason,speaker
Laura Karpman,speaker
Robert F. Wagner Jr.,speaker
Arturo di Pietro,speaker
Elsie Poole Jones,actor
Jared Soldiviero,conductor
Sylvia Auerbach,dancer
Tari DiMari,dancer
Eugene Jepson,actor
Jay Patel,speaker
John B. Reck,speaker
Samuel Hartwell Pratt,speaker
Armin Jordan,conductor
Theophilus Lewis,presenter
S. C. Latta,reciter
Marion Stevenson,actor
Efrem Kurtz,conductor
E. McLellan,actor
M.E.J. Czarnomska,speaker
André Prokovsky,ballet dancer
Frederick Rogers Graves,speaker
Robert Mallett,narrator
Reverend Edward Lodge Curran,speaker
[first name unknown] Celorrio,conductor
James H. Speers,speaker
Francis Joseph Goodwin,actor
Mary A. Vanderhoef,actor
Karla Schickele,actor
Frances Maury,actor
Danielle Deveaux Greer,dancer
Kenneth Ozzello,conductor
Souren Khachatryan,conductor
Helmuth Rilling,conductor
Stephen Melillo,conductor
Dr. Carleton Sprague Smith,speaker
Carlo Palleschi,conductor
Brett Zubler,actor
Regina Bruns,dancer
Chester W. Smith,conductor
Chelsea Dehn,conductor
Al Clausen,conductor
Stockard Channing,actor
