name,inst
Edwin Biltcliffe,piano
Rodnie Nelson,tenor
Darla Brooks,soprano
Leonard Borwick,piano
Nikolaj Znaider,violin
Crystal Chen,piano
Dieter Grossmann,baritone
Alice Cummings,piano
Orlando Harley,tenor
Jay Tandlich,clarinet
Joseph Stecura,bass-baritone
Martin Krummling,drums
John Keyes,tenor
Judy Huang,piano
Lynne Vardaman,soprano
Bradley Baker,vocalist
Mikyung Kim,violin|piano
Beno Foster,tenor
David Ortolà,piano
Walter Joachim,cello
Vuyani Mlinde,bass
Ludovit Anyalai,unspecified
Michel Dalberto,piano
Nansong Huang,piano
Matthew Ryan,tenor
Fuminori Tanada,piano
Kevin Kuhn,guitar|banjo
Ida Grossman,piano
Martin von der Nahmer,viola
James Shen,piano
Claire Qing-Yi Liu,piano
Kevin Mason,lute|theorbo
Mathilde Siegel,mezzo-soprano
Ludwig Bauer,bass
Robin Sukhadia,tanpura
Ulf Derschmidt,bassoon
Chee Hyun Kang,piano
Gary Wolf,piano
John Dominick III,bass
Angela Occhionero,clarinet
Karin Laine,soprano
M.B. De Bor,tenor
Tiffany Viray,vocalist
Jan Spronk,oboe
Kristy Riggs,flute
Bryan Gumm,double bass
Kate Gascoigne,French horn
Jo Amar,vocalist
Abla Lynn Hamza,soprano
Zulema,vocalist
Edward Herman,trombone
Sadie Chamanski,piano
Henri Pousseur,piano
George Barnes,guitar
Lazhar Cherouana,guitar
Eleanor Weller,piano
Andrea McArdle,vocalist
Angela Levy,harpsichord
Tasso Janopoulo,piano
Robert White,tenor
Blythe Gruda,vocalist
Edgar Gloss,trumpet
David Wong,double bass
Ana Leticia Barros,percussion
Cliff Scholl,accordion
Peter Stewart,bass|baritone
Lauren Bellino,piano
Joshua Donovan,tenor
Min Jung Song,piano
Mari Moriya,soprano
Christopher Chung,clarinet|piano
Crystal Chao,piano
Ken Sasaki,piano
Andres Leon Rodriguez,vocalist|trombone
Shirley Ling,piano
Joe Henry,guitar|vocalist
Vincent Minicucci,clarinet
Robert Dryden,unspecified voice
Ruby Braff,trumpet|cornet
Jeffrey Wu,piano
James Simpson,piano
Antonio Ferrara,violin
Maja Bogdanovic,cello
Julius Goldstein,piano
Herb Besson,trombone|tenor trombone
Alicia Olatuja,vocalist
Meggie Stoltzman,piano
Mary Burt,soprano
Diana Hermann,soprano
Cynthia Powell,keyboard
Dean Bradshaw,piano
Antonio Abete,bass
Norm Lewis,vocalist
Alexandra Zabludoff,piano
Maria Bedo,alto
Ida E. Chestnut,contralto
Elena Reim,soprano
Henry Coker,trombone
Katherine Faricy,piano
Haruko Nara,piano
Oessur Baek,violin
Brian Giebler,tenor
Mercer Ellington,trumpet
Larisa Gelman,bassoon
Claudia Vilcherrez,piano
Kathy Cusson,mezzo-soprano
Vera Galupe-Borszkh,soprano
Michael Werboff,bass-baritone
Ladislas Helfenbein,piano
Roger Williams,piano
Steven Van Zandt,guitar|vocalist
Manu Theron,vocalist|pandeiro|bendir
Willem Willeke,cello
Steve Earle,guitar|vocalist|mandolin
Gerald Chenoweth,clarinet
Elyane Laussade,piano
Varla Jean Merman,soprano
Hilda Konetzni,soprano
Alexander von Schlippenbach,piano
Dagmar Peckova,mezzo-soprano
Kirt N. Mosier,piano
Gina Valvano,bassoon
Cillian Vallely,low whistle|uilleann pipes
John Marino,unspecified
Caroline Morris,contralto
